gene	expr	reptime	hic
ARHGEF1	1255704	364	28
ARHGEF10	100967	551	-24
ARHGEF10L	375252	279	30
ARHGEF11	958228	350	36
ARHGEF12	264872	312	25
ARHGEF15	772200	257	20
ARHGEF16	248448	483	21
ARHGEF17	601834	218	54
ARHGEF18	613770	308	30
ARHGEF19	824719	186	40
ARHGEF2	1880483	213	32
ARHGEF3	380604	450	43
ARHGEF35	NaN	NaN	NaN
ARHGEF37	609620	185	37
ARHGEF38	233591	486	15
ARHGEF4	547548	369	13
ARHGEF5	189369	838	0
ARHGEF6	306872	NaN	39
ARHGEF7	405184	579	30
ARHGEF9	108759	NaN	-13
ARID1A	975965	182	27
ARID1B	143122	621	27
ARID2	820796	602	10
ARID3A	2292363	206	44
ARID3B	655453	206	59
ARID3C	731413	298	51
ARID4A	290710	552	36
ARID4B	550877	297	22
ARID5A	872383	360	47
ARID5B	81587	388	20
ARIH1	1093921	432	37
ARIH2	1818938	241	37
ARL1	283715	649	2
ARL10	563059	347	37
ARL11	425192	296	62
ARL13A	414180	NaN	45
ARL13B	85478	1310	-13
ARL14	493112	396	8
ARL15	83263	721	5
ARL16	3745109	205	30
ARL17A	NaN	NaN	NaN
ARL17B	372453	231	22
ARL2	3151458	209	52
ARL2BP	717872	149	48
ARL3	878626	180	27
ARL4A	120492	469	-11
ARL4C	121224	608	15
ARL4D	1147224	172	1
ARL5A	269131	610	15
ARL5B	74299	539	-5
ARL6	89238	731	-5
ARL6IP1	739644	279	45
ARL6IP4	1093113	196	47
ARL6IP5	264082	443	20
ARL6IP6	275277	716	6
ARL8A	649164	297	34
ARL8B	263029	325	22
ARL9	662749	594	27
ARMC1	145894	455	4
ARMC10	594757	579	34
ARMC2	414039	431	32
ARMC3	164960	449	12
ARMC4	125789	454	-4
ARMC5	839076	558	11
ARMC6	1327004	215	24
ARMC7	1511891	168	25
ARMC8	199119	358	18
ARMC9	1157442	394	41
ARMCX1	329999	NaN	8
ARMCX2	300391	NaN	31
ARMCX3	329999	NaN	8
ARMCX5	95798	NaN	27
ARMCX6	329999	NaN	8
ARMS2	252955	279	5
ARNT	1787393	188	33
ARNT2	365740	542	8
ARNTL	296688	414	13
ARNTL2	544579	377	40
ARPC1A	903923	263	51
ARPC1B	903923	263	51
ARPC2	724341	197	30
ARPC3	964525	206	50
ARPC4	953772	264	43
ARPC5	608114	407	24
ARPC5L	1125524	207	41
ARPM1	397180	820	-9
ARPP19	469724	386	15
ARPP21	3796	1075	-21
ARR3	188610	NaN	39
ARRB1	740999	252	46
ARRB2	1272092	222	28
ARRDC1	1197708	478	45
ARRDC2	1291557	226	34
ARRDC3	51436	334	5
ARRDC4	32065	851	-57
ARRDC5	777835	173	42
ARSA	1073094	203	43
ARSB	203299	452	50
ARSD	191640	NaN	18
ARSE	191640	NaN	18
ARSF	217524	NaN	-11
